n,t,i,p,u,v
1,0.0,1,-,-,-
2,0.0,2,-,-,-
3,0.0,3,0.4260047710703452,0.042954771775028176,0.029779725422514187
4,0.0,1,-,-,-
5,0.0,2,-,-,-
6,0.0,3,0.24065295695336308,0.020079386076368617,0.012718359091078985
7,0.0,1,-,-,-
8,0.0,2,-,-,-
9,0.0,3,0.25702913560900575,0.0439007907119052,0.026101421474605032
10,0.05,1,-,-,-
11,0.05,2,-,-,-
12,0.05,3,0.1756693419825812,0.028880792744855336,0.02096837960176097
13,0.05,1,-,-,-
14,0.05,2,-,-,-
15,0.05,3,0.13621838110391254,0.00965334328558663,0.005406456866503563
16,0.05,1,-,-,-
17,0.05,2,-,-,-
18,0.05,3,0.21778916215599253,0.016629430200742295,0.009525554418934419
19,0.1,1,-,-,-
20,0.1,2,-,-,-
21,0.1,3,0.1716674471387212,0.010864133156164435,0.007079935532893685
22,0.1,1,-,-,-
23,0.1,2,-,-,-
24,0.1,3,0.13570293077723644,0.0062842453978915564,0.00391199105419565
25,0.1,1,-,-,-
26,0.1,2,-,-,-
27,0.1,3,0.17166275126152183,0.008832138584801079,0.00473013968511929
28,0.15000000000000002,1,-,-,-
29,0.15000000000000002,2,-,-,-
30,0.15000000000000002,3,0.13076652446395357,0.005484127196758896,0.0027398068730118954
31,0.15000000000000002,1,-,-,-
32,0.15000000000000002,2,-,-,-
33,0.15000000000000002,3,0.10797753898931063,0.0033782101501197226,0.0017180784307879813
34,0.15000000000000002,1,-,-,-
35,0.15000000000000002,2,-,-,-
36,0.15000000000000002,3,0.12293416176345984,0.004270104096494508,0.002006647005997302
37,0.2,1,-,-,-
38,0.2,2,-,-,-
39,0.2,3,0.09976447193802525,0.002844388041809577,0.0014776705564205164
40,0.2,1,-,-,-
41,0.2,2,-,-,-
42,0.2,3,0.08495980340274767,0.002041961110787356,0.0010402312756305836
43,0.2,1,-,-,-
44,0.2,2,-,-,-
45,0.2,3,0.09336175768758598,0.0025707569905152926,0.0013645690027737443
46,0.25,1,-,-,-
47,0.25,2,-,-,-
48,0.25,3,0.07875418862569386,0.0019423511356311224,0.0010738860124580925
49,0.25,1,-,-,-
50,0.25,2,-,-,-
51,0.25,3,0.06891756305989868,0.001479187863812987,0.0008161158701134831
52,0.25,1,-,-,-
53,0.25,2,-,-,-
54,0.25,3,0.07500589713717426,0.0017662050332565397,0.0010315752837816278
55,0.3,1,-,-,-
56,0.3,2,-,-,-
57,0.3,3,0.06343862586671677,0.0013464126660342136,0.0007399611680506843
58,0.3,1,-,-,-
59,0.3,2,-,-,-
60,0.3,3,0.056234238613463536,0.0010983898880593981,0.0005973390578225498
61,0.3,1,-,-,-
62,0.3,2,-,-,-
63,0.3,3,0.06012722454734075,0.0012968772935601578,0.0007416929492054653
64,0.35,1,-,-,-
65,0.35,2,-,-,-
66,0.35,3,0.052205551291888315,0.0010393771329019084,0.0006158325627612553
67,0.35,1,-,-,-
68,0.35,2,-,-,-
69,0.35,3,0.04659859880392785,0.0008699835625432514,0.0005152538383684962
70,0.35,1,-,-,-
71,0.35,2,-,-,-
72,0.35,3,0.049651900356520826,0.0010156015248215721,0.0006276581709001069
73,0.39999999999999997,1,-,-,-
74,0.39999999999999997,2,-,-,-
75,0.39999999999999997,3,0.043394431717110625,0.0008657727578642557,0.000545709925711342
76,0.39999999999999997,1,-,-,-
77,0.39999999999999997,2,-,-,-
78,0.39999999999999997,3,0.038535229180750245,0.0007431012266252801,0.000459060976967212
79,0.39999999999999997,1,-,-,-
80,0.39999999999999997,2,-,-,-
81,0.39999999999999997,3,0.04092515779941748,0.0008758942032783338,0.000544947345565352
82,0.44999999999999996,1,-,-,-
83,0.44999999999999996,2,-,-,-
84,0.44999999999999996,3,0.03498129435182438,0.0007668305192276211,0.0004711222600939547
85,0.44999999999999996,1,-,-,-
86,0.44999999999999996,2,-,-,-
87,0.44999999999999996,3,0.030857884576523793,0.0006600182839715908,0.0003955685370802934
88,0.44999999999999996,1,-,-,-
89,0.44999999999999996,2,-,-,-
90,0.44999999999999996,3,0.03281025150414929,0.000773839278325225,0.00046955557908712415
91,0.49999999999999994,1,-,-,-
92,0.49999999999999994,2,-,-,-
93,0.49999999999999994,3,0.02924166751954166,0.0006644279230826138,0.0004128429608883774
94,0.49999999999999994,1,-,-,-
95,0.49999999999999994,2,-,-,-
96,0.49999999999999994,3,0.026855236125813045,0.0005791061798112952,0.000355179324267588
97,0.49999999999999994,1,-,-,-
98,0.49999999999999994,2,-,-,-
99,0.49999999999999994,3,0.029677886655742478,0.0006780070702413324,0.000422200295343091
100,0.5499999999999999,1,-,-,-
101,0.5499999999999999,2,-,-,-
102,0.5499999999999999,3,0.027421952425225198,0.0006045228891630396,0.0003747582902735413
103,0.5499999999999999,1,-,-,-
104,0.5499999999999999,2,-,-,-
105,0.5499999999999999,3,0.025372285422293334,0.000538789758636379,0.0003231021505816373
106,0.5499999999999999,1,-,-,-
107,0.5499999999999999,2,-,-,-
108,0.5499999999999999,3,0.027801909672055782,0.0006322726188880301,0.0003750538128004131
109,0.6,1,-,-,-
110,0.6,2,-,-,-
111,0.6,3,0.025357894810101315,0.0005595511584143104,0.0003319289874073812
112,0.6,1,-,-,-
113,0.6,2,-,-,-
114,0.6,3,0.023272252674935916,0.0004936541382308276,0.0002890414777314813
115,0.6,1,-,-,-
116,0.6,2,-,-,-
117,0.6,3,0.02500340139579258,0.0005668485616078068,0.00033234090091280213
118,0.65,1,-,-,-
119,0.65,2,-,-,-
120,0.65,3,0.02264035338202553,0.000497716377957565,0.000294837605328359
121,0.65,1,-,-,-
122,0.65,2,-,-,-
123,0.65,3,0.020741138747023803,0.00044082093484569567,0.0002576629913881584
124,0.65,1,-,-,-
125,0.65,2,-,-,-
126,0.65,3,0.02215136062089639,0.0005024787945630259,0.0002926554825314983
127,0.7000000000000001,1,-,-,-
128,0.7000000000000001,2,-,-,-
129,0.7000000000000001,3,0.020083721477307963,0.00044584146513204176,0.0002601992429880911
130,0.7000000000000001,1,-,-,-
131,0.7000000000000001,2,-,-,-
132,0.7000000000000001,3,0.018500884323006367,0.00040055743168264076,0.0002281405162728639
133,0.7000000000000001,1,-,-,-
134,0.7000000000000001,2,-,-,-
135,0.7000000000000001,3,0.019814337730171327,0.00045720066589148247,0.0002586960174994158
136,0.7500000000000001,1,-,-,-
137,0.7500000000000001,2,-,-,-
138,0.7500000000000001,3,0.018158549880801397,0.0004092879629566771,0.0002326807254756184
139,0.7500000000000001,1,-,-,-
140,0.7500000000000001,2,-,-,-
141,0.7500000000000001,3,0.016798890051247475,0.00036789490294079533,0.00020601701937378062
142,0.7500000000000001,1,-,-,-
143,0.7500000000000001,2,-,-,-
144,0.7500000000000001,3,0.01804720061451606,0.000417074373224984,0.00023404210455215126
145,0.8000000000000002,1,-,-,-
146,0.8000000000000002,2,-,-,-
147,0.8000000000000002,3,0.016612706475229777,0.0003726417917181322,0.00021172834170376202
148,0.8000000000000002,1,-,-,-
149,0.8000000000000002,2,-,-,-
150,0.8000000000000002,3,0.015439881424732056,0.00033410524478113553,0.00018840264786781173
151,0.8000000000000002,1,-,-,-
152,0.8000000000000002,2,-,-,-
153,0.8000000000000002,3,0.016603267343724,0.0003794061646444416,0.00021309000650756888
154,0.8500000000000002,1,-,-,-
155,0.8500000000000002,2,-,-,-
156,0.8500000000000002,3,0.01540031885114342,0.0003390442962652941,0.0001928965638901359
157,0.8500000000000002,1,-,-,-
158,0.8500000000000002,2,-,-,-
159,0.8500000000000002,3,0.01439332171638268,0.0003055714413449642,0.0001710074849223385
160,0.8500000000000002,1,-,-,-
161,0.8500000000000002,2,-,-,-
162,0.8500000000000002,3,0.015438581921029348,0.00034715858093013627,0.00019167667088575976
163,0.9000000000000002,1,-,-,-
164,0.9000000000000002,2,-,-,-
165,0.9000000000000002,3,0.014351410333433541,0.00031598626452478427,0.00017281945673494403
166,0.9000000000000002,1,-,-,-
167,0.9000000000000002,2,-,-,-
168,0.9000000000000002,3,0.013403780379477873,0.00029125704440484157,0.00015541853004901552
169,0.9000000000000002,1,-,-,-
170,0.9000000000000002,2,-,-,-
171,0.9000000000000002,3,0.014275558184569527,0.0003374756236056051,0.0001744123801699903
172,0.9500000000000003,1,-,-,-
173,0.9500000000000003,2,-,-,-
174,0.9500000000000003,3,0.013222762783183732,0.00029911159206554933,0.00015816432584174817
175,0.9500000000000003,1,-,-,-
176,0.9500000000000003,2,-,-,-
177,0.9500000000000003,3,0.012280017289050612,0.0002755062074690582,0.0001418029567130897
178,0.9500000000000003,1,-,-,-
179,0.9500000000000003,2,-,-,-
180,0.9500000000000003,3,0.013004377873557934,0.0003067094718721967,0.00015772369380496535
181,1.0000000000000002,1,-,-,-
182,1.0000000000000002,2,-,-,-
183,1.0000000000000002,3,0.011998502804097623,0.0002733386405137506,0.00014012886020798573
184,1.0000000000000002,1,-,-,-
185,1.0000000000000002,2,-,-,-
186,1.0000000000000002,3,0.011147390247737744,0.0002481886077287812,0.0001236446865814022
187,1.0000000000000002,1,-,-,-
188,1.0000000000000002,2,-,-,-
189,1.0000000000000002,3,0.011819607765484182,0.0002688945711366928,0.00013663553937225253
190,1.0500000000000003,1,-,-,-
191,1.0500000000000003,2,-,-,-
192,1.0500000000000003,3,0.01100010843490179,0.00023792748980712314,0.00012376003633655399
193,1.0500000000000003,1,-,-,-
194,1.0500000000000003,2,-,-,-
195,1.0500000000000003,3,0.010323187769687037,0.0002131848933250316,0.00011219412910052209
196,1.0500000000000003,1,-,-,-
197,1.0500000000000003,2,-,-,-
198,1.0500000000000003,3,0.010996919979052784,0.0002453808761836714,0.00012604701040315336
199,1.1000000000000003,1,-,-,-
200,1.1000000000000003,2,-,-,-
201,1.1000000000000003,3,0.010333601179567152,0.0002120704109383108,0.00011489329457126763
202,1.1000000000000003,1,-,-,-
203,1.1000000000000003,2,-,-,-
204,1.1000000000000003,3,0.009736499470234234,0.00019295726579617647,0.00010274992008401949
205,1.1000000000000003,1,-,-,-
206,1.1000000000000003,2,-,-,-
207,1.1000000000000003,3,0.010354634925387544,0.0002185671592811801,0.0001128626371674933
208,1.1500000000000004,1,-,-,-
209,1.1500000000000004,2,-,-,-
210,1.1500000000000004,3,0.009697091489167737,0.0001925187430820425,0.0001004094362908962
211,1.1500000000000004,1,-,-,-
212,1.1500000000000004,2,-,-,-
213,1.1500000000000004,3,0.00910877463907078,0.00017584008072918784,8.892175553375852e-05
214,1.1500000000000004,1,-,-,-
215,1.1500000000000004,2,-,-,-
216,1.1500000000000004,3,0.009638198686230916,0.0001950169103296861,9.735735752849494e-05
217,1.2000000000000004,1,-,-,-
218,1.2000000000000004,2,-,-,-
219,1.2000000000000004,3,0.009010120322996605,0.00018014187272858556,8.947927059199902e-05
220,1.2000000000000004,1,-,-,-
221,1.2000000000000004,2,-,-,-
222,1.2000000000000004,3,0.008490679756234645,0.00016624192996970812,8.162317872394694e-05
223,1.2000000000000004,1,-,-,-
224,1.2000000000000004,2,-,-,-
225,1.2000000000000004,3,0.008995054257711648,0.00018440537530568806,9.165446592424729e-05
226,1.2500000000000004,1,-,-,-
227,1.2500000000000004,2,-,-,-
228,1.2500000000000004,3,0.008507837348638672,0.00017057275376996614,8.449756752133386e-05
229,1.2500000000000004,1,-,-,-
230,1.2500000000000004,2,-,-,-
231,1.2500000000000004,3,0.008094839145915267,0.00015675157430877854,7.595439407361987e-05
232,1.2500000000000004,1,-,-,-
233,1.2500000000000004,2,-,-,-
234,1.2500000000000004,3,0.008634231571697472,0.00017177733978623267,8.312720855862162e-05
235,1.3000000000000005,1,-,-,-
236,1.3000000000000005,2,-,-,-
237,1.3000000000000005,3,0.00825490383862749,0.00015829592344693941,7.576846887425115e-05
238,1.3000000000000005,1,-,-,-
239,1.3000000000000005,2,-,-,-
240,1.3000000000000005,3,0.007887134266365881,0.00014519680803458154,6.686774055130571e-05
241,1.3000000000000005,1,-,-,-
242,1.3000000000000005,2,-,-,-
243,1.3000000000000005,3,0.008423585945754621,0.00015895403276321122,7.299214953349291e-05
244,1.3500000000000005,1,-,-,-
245,1.3500000000000005,2,-,-,-
246,1.3500000000000005,3,0.008043235652041443,0.00014873744347980604,6.801915905205618e-05
247,1.3500000000000005,1,-,-,-
248,1.3500000000000005,2,-,-,-
249,1.3500000000000005,3,0.007669702313032565,0.00013853524334587631,6.319092809260175e-05
250,1.3500000000000005,1,-,-,-
251,1.3500000000000005,2,-,-,-
252,1.3500000000000005,3,0.008153866205677663,0.00015283234195703443,6.988952156083469e-05
253,1.4000000000000006,1,-,-,-
